"variable","p_value","r2","f_statistic","method","p_adj_bh"
"host_height",0.054,0.0389156772190475,2.22702857211774,"Weighted UniFrac PERMANOVA",0.3885
"fl_cm",0.14,0.0296906374686732,1.68295300842705,"Weighted UniFrac PERMANOVA",0.3885
"ratio_gape_to_tl",0.147,0.03254876418799,1.68219146263588,"Weighted UniFrac PERMANOVA",0.3885
"gape_cm",0.154,0.0321349617562213,1.6600951830294,"Weighted UniFrac PERMANOVA",0.3885
"dist_to_dorsal_cm",0.171,0.0334164933254982,1.69401625585653,"Weighted UniFrac PERMANOVA",0.3885
"method_gear",0.204,0.103839096216127,1.22823302739884,"Weighted UniFrac PERMANOVA",0.3885
"tl_cm",0.212,0.0245186423670533,1.43269023440211,"Weighted UniFrac PERMANOVA",0.3885
"host_height_vs_max_height_tl",0.227,0.0227067444620931,1.32435625336115,"Weighted UniFrac PERMANOVA",0.3885
"gi_cm",0.241,0.0244746626408901,1.32970110594848,"Weighted UniFrac PERMANOVA",0.3885
"ratio_dorsal_to_tl",0.259,0.024874202222418,1.24992684192782,"Weighted UniFrac PERMANOVA",0.3885
"swim_performance",0.376,0.0911819250111658,1.06350042073077,"Weighted UniFrac PERMANOVA",0.512727272727273
"mass_g",0.459,0.0154404429893962,0.878224990300793,"Weighted UniFrac PERMANOVA",0.57375
"month",0.559,0.0135795715921358,0.784691353159704,"Weighted UniFrac PERMANOVA",0.645
"ratio_gi_to_tl",0.718,0.0106209120228565,0.568951116970038,"Weighted UniFrac PERMANOVA",0.769285714285714
"host_body_mass_index",0.975,0.00276542572032482,0.149747103388796,"Weighted UniFrac PERMANOVA",0.975
